彖	乛豕 vu
炸	火乍 lv
炻	火石 lu
炽	火八 lz
烂	火三 ls
烃	火工 lg
烈	歹灬 dh
烔	火口 lk
烘	火八 lz
烙	火口 lk
烛	火虫 li
烟	火大 ld
烠	火月 ll
烦	火人 lr
烧	火兀 lw
烨	火十 lu
烩	火厶 ls
烫	氵火 dl
热	扌灬 fh
烯	火巾 lj
烶	火廴 lz
烷	火儿 lq
烹	亠灬 wh
烻	火廴 lz
烽	火丰 lf
焊	火干 lt
焌	火夂 lw
焐	火口 lk
焓	火口 lk
焕	火大 ld
焖	火心 lx
焗	火口 lk
焚	木火 ml
焜	火匕 lb
焞	火子 lz
焯	火十 lu
焱	火火 ll
然	丿灬 ph
煃	火土 lt
煅	火又 li
煋	火生 lu
煌	火王 lw
煎	丷灬 bh
煜	火立 ll
煞	𠂊灬 xh
煟	火月 ll
煤	火木 lm
煦	日灬 ph
照	日灬 ph
煮	耂灬 lh
煲	亻火 rl
煳	火月 ll
煴	火皿 lm
煸	火艹 lc
煽	火习 lx
熄	火心 lx
熇	火口 lk
熊	厶灬 sh
熔	火口 lk
熘	火田 lt
熛	火小 lc
熟	亠灬 wh
熠	火白 lb
熥	火辶 lz
熨	尸火 sl
熵	火口 lk
燃	火灬 lh
燋	火灬 lh
燔	火田 lt
燚	火火 ll
燠	火大 ld
燥	火木 lm
燧	火辶 lz
爆	火氺 lu
爇	艹灬 ch
爝	火寸 lc
爰	丿又 pi
爱	丿又 pi
爵	丿寸 pc
爷	八卩 zq
爸	八巴 zb
爹	八夕 zx
爻	乂乂 xx
爽	大乂 dx
牛	丿丨 ps
牝	牛匕 nb
牟	厶牛 sn
牡	牛土 nt
牢	宀牛 bn
牥	牛方 nf
牧	牛攵 nw
物	牛勿 nw
牮	亻牛 rn
牯	牛口 nk
牲	牛生 nu
特	牛寸 nc
牺	牛西 nx
牾	牛口 nk
牿	牛口 nk
犄	牛口 nk
犇	牛牛 nn
犊	牛大 nd
犋	牛八 nz
犍	牛廴 nz
犏	牛艹 nc
犒	牛口 nk
犨	亻牛 rn
犯	犭乛 qv
犴	犭干 qt
犷	犭广 qb
犸	犭马 qm
狁	犭儿 qq
狂	犭王 qw
狃	犭丑 qi
狄	犭火 ql
狈	犭人 qr
狍	犭巳 qs
狗	犭口 qk
狙	犭且 qq
狝	犭小 qc
狞	犭丁 qd
狡	犭乂 qx
狨	犭𠂇 qu
狩	犭寸 qc
独	犭虫 qi
狭	犭夹 qj
狮	犭巾 qj
狯	犭厶 qs
狱	犭犬 qq
狲	犭小 qc
狸	犭里 qt
狺	犭口 qk
猁	犭刂 qd
猄	犭小 qc
猇	犭几 qj
猊	犭儿 qq
猎	犭日 qp
猕	犭小 qc
猖	犭日 qp
猗	犭口 qk
猛	犭皿 qm
猜	犭月 ql
猝	犭十 qu
猞	犭口 qk
猡	犭夕 qx
猢	犭月 ql
猩	犭生 qu
猪	犭日 qp
猫	犭田 qt
猬	犭月 ql
献	十犬 uq
猰	犭大 qd
猱	犭木 qm
猴	犭矢 qu
猷	丷犬 bq
猺	犭缶 qf
猾	犭骨 qg
獍	犭儿 qq
獐	犭十 qu
獬	犭牛 qn
獯	犭灬 qh
玄	亠幺 wy
率	亠十 wu
王	一土 ht
玎	王丁 wd
玑	王几 wj
玒	王工 wg
玕	王干 wt
玘	王己 wj
玛	王马 wm
玞	王夫 wf
玟	王文 ww
玢	王刀 wd
玤	王丰 wf
玥	王月 wl
玩	王儿 wq
玫	王攵 ww
玭	王匕 wb
玱	王乛 wv
玲	王龴 ws
玳	王弋 wy
玶	王平 wp
玷	王口 wk
玹	王幺 wy
玻	王又 wi
玼	王匕 wb
玿	王口 wk
珀	王白 wb
珂	王口 wk
珇	王且 wq
珈	王口 wk
珊	王册 wc
珋	王卩 wq
珏	王玉 wy
珐	王厶 ws
珖	王兀 ww
珙	王八 wz
珛	王月 wl
珝	王习 wx
珞	王口 wk
珠	王朱 wv
珣	王日 wp
珥	王耳 wq
珦	王口 wk
珪	王土 wt
珫	王儿 wq
珰	王彐 wn
珲	王车 wi
珵	王王 ww
珷	王止 wv
珸	王口 wk
珺	王口 wk
珽	王廴 wz
琀	王口 wk
理	王里 wt
琈	王子 wz
琊	王阝 wq
琎	王辶 wz
琏	王辶 wz
琐	王人 wr
琔	王人 wr
琚	王口 wk
琡	王又 wi
琥	王几 wj
琦	王口 wk
琨	王匕 wb
琪	王八 wz
琬	王乛 wv
琭	王氺 wu
琮	王小 wc
琰	王火 wl
琲	王非 wf
琳	王木 wm
琵	王匕 wb
琼	王小 wc
瑁	王目 wg
瑂	王目 wg
瑃	王日 wp
瑅	王人 wr
瑆	王生 wu
瑔	王水 wu
瑖	王又 wi
瑗	王又 wi
瑙	王乂 wx
瑚	王月 wl
瑛	王央 wy
瑜	王刂 wd
瑝	王王 ww
瑞	王而 wq
瑢	王口 wk
瑧	王禾 wh
瑨	王日 wp
瑬	氵玉 dy
瑭	王口 wk
瑰	王鬼 wg
瑱	王八 wz
瑳	王工 wg
瑶	王缶 wf
瑷	王又 wi
瑾	王一 wh
璃	王丶 wx
璇	王人 wr
璋	王十 wu
璎	王女 wn
璐	王口 wk
璜	王八 wz
璟	王小 wc
璠	王田 wt
璥	王攵 ww
璪	王木 wm
璲	王辶 wz
瓀	王而 wq
瓒	王人 wr
甜	千甘 qg
生	丿龶 pf
甡	生生 uu
甥	生力 ul
田	囗十 wu
男	田力 tl
町	田丁 td
畈	田又 ti
畋	田攵 tw
畎	田犬 tq
畔	田半 tb
畚	厶田 st
畤	田寸 tc
略	田口 tk
畦	田土 tt
畬	人田 rt
畯	田夂 tw
畴	田寸 tc
畸	田口 tk
畹	田乛 tv
疃	田里 tt
疑	匕人 br
疔	疒丁 bd
疖	疒卩 bq
疝	疒山 bn
疢	疒火 bl
疤	疒巴 bb
疫	疒又 bi
疬	疒力 bl
疭	疒人 br
疮	疒乛 bv
疯	疒乂 bx
疰	疒主 bv
疱	疒巳 bs
疲	疒又 bi
疳	疒甘 bg
疴	疒口 bk
疵	疒匕 bb
疽	疒且 bq
疾	疒矢 bu
痂	疒口 bk
痃	疒幺 by
痄	疒乍 bv
病	疒丙 bb
症	疒正 bv
痉	疒工 bg
痊	疒王 bw
痍	疒夷 by
痓	疒土 bt
痔	疒寸 bc
痞	疒口 bk
痢	疒刂 bd
痣	疒心 bx
痤	疒土 bt
痦	疒口 bk
痨	疒力 bl
痪	疒大 bd
痫	疒木 bm
痰	疒火 bl
痱	疒非 bf
痴	疒口 bk
痼	疒口 bk
痿	疒女 bn
瘁	疒十 bu
瘅	疒丨 bs
瘊	疒矢 bu
瘐	疒臾 by
瘗	疒土 bt
瘘	疒女 bn
瘠	疒月 bl
瘢	疒又 bi
瘤	疒田 bt
瘥	疒工 bg
瘪	疒匕 bb
瘭	疒小 bc
瘰	疒小 bc
瘴	疒十 bu
瘵	疒小 bc
瘸	疒人 br
瘼	疒大 bd
瘾	疒心 bx
瘿	疒女 bn
癀	疒八 bz
癃	疒生 bu
癌	疒山 bn
癍	疒王 bw
癔	疒心 bx
癗	疒田 bt
癞	疒人 br
癫	疒人 br
皂	白七 bq
皇	白王 bw
皈	白又 bi
皋	白十 bu
皎	白乂 bx
皓	白口 bk
皖	白儿 bq
皙	木白 mb
皛	白白 bb
皤	白田 bt
皭	白寸 bc
皲	冖又 bi
皿	丨一 sh
盂	于皿 tm
盅	中皿 vm
盆	八皿 zm
益	丷皿 bm
盍	土皿 tm
盏	戋皿 jm
盐	土皿 tm
盒	人皿 rm
盔	𠂇皿 um
盗	冫皿 dm
盛	成皿 im
盟	日皿 pm
盦	人皿 rm
盯	目丁 gd
盱	目于 gt
盲	亡目 wg
盷	目冫 gd
相	木目 mg
盼	目刀 gd
眙	目口 gk
眚	生目 ug
真	十八 uz
眦	目匕 gb
眩	目幺 gy
眭	目土 gt
眯	目米 gh
眵	目夕 gx
着	⺶目 yg
睃	目夂 gw
睄	目月 gl
睎	目巾 gj
睐	目来 gl
睚	目土 gt
睛	目月 gl
睡	目垂 gi
睥	目十 gu
睦	目土 gt
睨	目儿 gq
睫	目人 gr
睬	目木 gm
睹	目日 gp
瞄	目田 gt
瞅	目火 gl
瞋	目八 gz
瞎	目口 gk
瞒	目两 gl
瞟	目小 gc
瞠	目土 gt
瞢	艹目 cg
瞧	目灬 gh
瞫	目十 gu
瞰	目攵 gw
瞳	目里 gt
瞽	士目 tg
矞	龴口 sk
矣	厶矢 su
矬	矢土 ut
矮	矢女 un
矰	矢日 up
矶	石几 uj
矸	石干 ut
矼	石工 ug
矿	石广 ub
码	石马 um
砆	石夫 uf
砌	石刀 ud
砍	石人 ur
砒	石匕 ub
砗	石车 ui
砜	石乂 ux
砝	石厶 us
砟	石乍 uv
砠	石且 uq
砣	石匕 ub
砧	石口 uk
砫	石主 uv
砬	石立 ul
砮	女石 nu
砰	石平 up
破	石又 ui
砹	石乂 ux
砺	石万 uw
砼	石工 ug
础	石出 ui
硁	石工 ug
硅	石土 ut
硊	石乛 uv
硌	石口 uk
硎	石刂 ud
硐	石口 uk
硒	石西 ux
硔	石八 uz
硕	石人 ur
硖	石夹 uj
硗	石兀 uw
硝	石月 ul
硬	石更 ug
硼	石月 ul
硿	石工 ug
碃	石月 ul
碇	石人 ur
碈	石日 up
碉	石口 uk
碌	石氺 uu
碍	石寸 uc
碎	石十 uu
碏	石日 up
碑	石十 uu
碗	石乛 uv
碘	石八 uz
碛	石人 ur
碥	石艹 uc
碲	石巾 uj
碳	石火 ul
碶	石大 ud
磁	石幺 uy
磅	石方 uf
磉	石木 um
磊	石石 uu
磋	石工 ug
磏	石乀 uy
磐	舟石 vu
磜	石小 uc
磡	石力 ul
磲	石木 um
磹	石十 uu
磻	石田 ut
礁	石灬 uh
礅	石攵 uw
礌	石田 ut
礴	石寸 uc
礵	石目 ug
祀	礻巳 ps
祃	礻马 pm
祆	礻天 pt
祉	礻止 pv
祊	礻方 pf
祋	礻又 pi
祏	礻石 pu
祐	礻口 pk
祖	礻且 pq
祚	礻乍 pv
祛	礻厶 ps
祜	礻口 pk
祝	礻儿 pq
祠	礻口 pk
祢	礻小 pc
票	西小 xc
祯	礻人 pr
祲	礻又 pi
祷	礻寸 pc
祺	礻八 pz
祼	礻果 pg
禁	木小 mc
禄	礻氺 pu
禅	礻丨 ps
禊	礻大 pd
禔	礻人 pr
禘	礻巾 pj
禚	礻灬 ph
禛	礻八 pz
禤	礻习 px
禧	礻口 pk
禽	人丶 rx
稣	鱼禾 gh
穴	宀八 bz
立	亠一 wh
竘	立口 lk
站	立口 lk
竞	立儿 lq
竟	立儿 lq
章	立十 lu
童	立里 lt
竦	立束 lu
端	立而 lq
竹	丿丨 ps
竺	𥫗二 vq
竽	𥫗于 vt
竿	𥫗干 vt
笃	𥫗马 vm
笆	𥫗巴 vb
笏	𥫗勿 vw
笑	𥫗夭 vy
笙	𥫗生 vu
笞	𥫗口 vk
笠	𥫗立 vl
笤	𥫗口 vk
笥	𥫗口 vk
符	𥫗寸 vc
笮	𥫗乍 vv
笯	𥫗又 vi
笱	𥫗口 vk
笳	𥫗口 vk
笺	𥫗戋 vj
笾	𥫗辶 vz
筀	𥫗土 vt
筅	𥫗儿 vq
等	𥫗寸 vc
筋	𥫗力 vl
筌	𥫗王 vw
筏	𥫗戈 vg
筒	𥫗口 vk
答	𥫗口 vk
策	𥫗乀 vy
筘	𥫗口 vk
筚	𥫗十 vu
筛	𥫗巾 vj
筜	𥫗彐 vn
筠	𥫗冫 vd
筢	𥫗巴 vb
筥	𥫗口 vk
筦	𥫗儿 vq
筮	𥫗人 vr
筲	𥫗月 vl
筵	𥫗廴 vz
筶	𥫗口 vk
筷	𥫗夬 vg
筹	𥫗寸 vc
筻	𥫗更 vg
筼	𥫗人 vr
简	𥫗日 vp
箐	𥫗月 vl
箓	𥫗氺 vu
箔	𥫗白 vb
箕	𥫗八 vz
箖	𥫗木 vm
箜	𥫗工 vg
箢	𥫗乛 vv
箦	𥫗人 vr
箩	𥫗夕 vx
箪	𥫗丨 vs
箫	𥫗肃 vs
箬	𥫗口 vk
箭	𥫗刂 vd
箱	𥫗目 vg
箸	𥫗日 vp
篁	𥫗王 vw
篇	𥫗艹 vc
篌	𥫗矢 vu
篑	𥫗人 vr
篓	𥫗女 vn
篙	𥫗口 vk
篝	𥫗冉 vr
篡	𥫗厶 vs
篥	𥫗木 vm
篦	𥫗匕 vb
篪	𥫗几 vj
篮	𥫗皿 vm
篯	𥫗戋 vj
篱	𥫗丶 vx
篷	𥫗辶 vz
簃	𥫗夕 vx
簇	𥫗矢 vu
簉	𥫗辶 vz
簋	𥫗皿 vm
簏	𥫗匕 vb
簕	𥫗力 vl
簟	𥫗十 vu
簧	𥫗八 vz
簰	𥫗十 vu
簸	𥫗又 vi
籀	𥫗田 vt
籁	𥫗人 vr
米	丶木 xm
籴	入米 rh
类	米大 hd
籼	米山 hn
籽	米子 hz
粉	米刀 hd
粑	米巴 hb
粒	米立 hl
粕	米白 hb
粗	米且 hq
粘	米口 hk
粝	米万 hw
粞	米西 hx
粢	冫米 dh
粪	米八 hz
粱	氵米 dh
粳	米更 hg
粹	米十 hu
粽	米小 hc
精	米月 hl
粿	米果 hg
糅	米木 hm
糇	米矢 hu
糈	米月 hl
糊	米月 hl
糍	米幺 hy
糕	米灬 hh
糖	米口 hk
糗	米犬 hq
糙	米辶 hz
糜	广米 bh
糟	米日 hp
糠	米乀 hy
糨	米虫 hi
紫	止小 vc
絜	丰小 fc
絮	女小 nc
絷	扌小 fc
綮	户小 hc
縢	月小 lc
繁	丿小 pc
纂	𥫗小 vc
纡	纟于 st
红	纟工 sg
纣	纟寸 sc
纤	纟千 sq
纩	纟广 sb
纪	纟己 sj
纭	纟厶 ss
纰	纟匕 sb
纲	纟乂 sx
纳	纟内 sn
纵	纟人 sr
纶	纟匕 sb
纷	纟刀 sd
纹	纟文 sw
纺	纟方 sf
纽	纟丑 si
线	纟戋 sj
绀	纟甘 sg
组	纟且 sq
细	纟田 st
织	纟八 sz
绊	纟半 sb
绌	纟出 si
绍	纟口 sk
经	纟工 sg
绐	纟口 sk
绑	纟阝 sq
绒	纟𠂇 su
结	纟口 sk
绕	纟兀 sw
绖	纟土 st
绘	纟厶 ss
给	纟口 sk
绚	纟日 sp
络	纟口 sk
绝	纟巴 sb
绞	纟乂 sx
统	纟儿 sq
绠	纟更 sg
绡	纟月 sl
绤	纟口 sk
绥	纟女 sn
绦	纟朩 sm
绩	纟人 sr
绪	纟日 sp
续	纟大 sd
绮	纟口 sk
绯	纟非 sf
绰	纟十 su
绱	纟口 sk
绲	纟匕 sb
绶	纟又 si
绷	纟月 sl
绸	纟口 sk
绹	纟缶 sf
绻	纟乛 sv
综	纟小 sc
绽	纟人 sr
绿	纟氺 su
缂	纟革 sg
缃	纟目 sg
缅	纟面 sm
缇	纟人 sr
缊	纟皿 sm
缌	纟心 sx
缎	纟又 si
缐	纟水 su
缑	纟矢 su
缒	纟辶 sz
缓	纟又 si
缔	纟巾 sj
缕	纟女 sn
编	纟艹 sc
缙	纟日 sp
缛	纟寸 sc
缜	纟八 sz
缝	纟辶 sz
缟	纟口 sk
缠	纟里 st
缡	纟丶 sx
缢	纟皿 sm
缣	纟乀 sy
缤	纟八 sz
缥	纟小 sc
缦	纟又 si
缧	纟小 sc
缨	纟女 sn
缩	纟百 sb
缮	纟口 sk
缯	纟日 sp
缱	纟辶 sz
缵	纟人 sr
缸	缶工 fg
罍	田缶 tf
网	冂乂 nx
罕	冖干 bt
罗	罒夕 sx
罚	罒刂 sd
罟	罒口 sk
罡	罒正 sv
罢	罒厶 ss
罩	罒十 su
罪	罒非 sf
罱	罒干 st
署	罒日 sp
罶	罒田 st
罾	罒日 sp
羁	罒马 sm
羓	⺶巴 yb
羖	⺶又 yi
羚	⺶龴 ys
羞	⺶丑 yi
羟	⺶工 yg
羡	𦍌人 yr
羰	⺶火 yl
羱	⺶小 yc
羽	习习 xx
翁	八习 zx
翂	习刀 xd
翊	立习 lx
翌	习立 xl
翎	人习 rx
翔	⺶习 yx
翕	人习 rx
翚	习车 xi
翛	亻习 rx
翠	习十 xu
翥	耂习 lx
翦	丷习 bx
翩	户习 hx
翯	习口 xk
翻	丿习 px
耇	耂口 lk
耋	耂土 lt
而	一丨 hs
耍	而女 qn
耐	而寸 qc
耑	山而 nq
耔	耒子 lz
耘	耒厶 ls
耙	耒巴 lb
耠	耒口 lk
耢	耒力 ll
耤	耒日 lp
耥	耒口 lk
耧	耒女 ln
耨	耒寸 lc
耩	耒冉 lr
耪	耒方 lf
耰	耒夂 lw
耱	耒石 lu
耸	人耳 rq
聱	龶耳 fq
肋	月力 ll
肌	月几 lj
肓	亡月 wl
肘	月寸 lc
肚	月土 lt
肛	月工 lg
肝	月干 lt
股	月又 li
肢	月又 li
肤	月夫 lf
肥	月巴 lb
肪	月方 lf
肭	月内 ln
肮	月几 lj
肴	乂月 xl
肷	月人 lr
肸	月十 lu
胄	由月 yl
胈	月丶 lx
背	丨月 sl
胎	月口 lk
胖	月半 lb
胙	月乍 lv
胜	月生 lu
胞	月巳 ls
胠	月厶 ls
胡	十月 ul
胨	月东 ld
胪	月尸 ls
胫	月工 lg
胬	女人 nr
胭	月大 ld
胰	月夷 ly
胱	月兀 lw
胲	月人 lr
胳	月口 lk
胴	月口 lk
胶	月乂 lx
胺	月女 ln
能	厶匕 sb
脂	月日 lp
脆	月乛 lv
脍	月厶 ls
脎	月朩 lm
脏	月土 lt
脒	月米 lh
脘	月儿 lq
脚	月卩 lq
脞	月土 lt
脩	亻月 rl
脬	月子 lz
脱	月儿 lq
脲	月水 lu
脾	月十 lu
腆	月八 lz
腈	月月 ll
腊	月日 lp
腑	月寸 lc
腒	月口 lk
腓	月非 lf
腔	月工 lg
腕	月乛 lv
腘	月玉 ly
腙	月小 lc
腚	月人 lr
腠	月天 lt
腥	月生 lu
腧	月刂 ld
腩	月干 lt
腮	月心 lx
腯	月目 lg
腰	月女 ln
腱	月廴 lz
腴	月臾 ly
腹	月夂 lw
腺	月水 lu
腻	月人 lr
腼	月面 lm
腾	月马 lm
膀	月方 lf
膂	方月 fl
膑	月八 lz
膘	月小 lc
膙	月虫 li
膛	月土 lt
膜	月大 ld
膳	月口 lk
膺	广月 bl
臆	月心 lx
臊	月木 lm
臌	月又 li
臑	月而 lq
臜	月人 lr
臬	自木 zm
臭	自犬 zq
臼	丿一 ph
舀	丿臼 pj
舄	臼灬 jh
舅	臼力 jl
舌	千口 qk
舍	人口 rk
舟	丿丶 px
舠	舟刀 vd
舢	舟山 vn
舣	舟义 vy
舥	舟巴 vb
航	舟几 vj
舫	舟方 vf
般	舟又 vi
舭	舟匕 vb
舱	舟乛 vv
舲	舟龴 vs
舴	舟乍 vv
舵	舟匕 vb
舶	舟白 vb
舷	舟幺 vy
舸	舟口 vk
船	舟口 vk
舻	舟尸 vs
舾	舟西 vx
艄	舟月 vl
艇	舟廴 vz
艋	舟皿 vm
艎	舟王 vw
艏	舟自 vz
艚	舟日 vp
艟	舟里 vt
色	𠂊巴 xb
艳	丰巴 fb
艾	艹乂 cx
节	艹卩 cq
芊	艹千 cq
芋	艹于 ct
芏	艹土 ct
芑	艹己 cj
芘	艹匕 cb
芙	艹夫 cf
芜	艹无 cw
芟	艹又 ci
芠	艹文 cw
芡	艹人 cr
芦	艹户 ch
芫	艹儿 cq
芬	艹刀 cd
芭	艹巴 cb
芮	艹内 cn
芯	艹心 cx
芰	艹又 ci
花	艹匕 cb
芳	艹方 cf
芴	艹勿 cw
芷	艹止 cv
芸	艹厶 cs
苁	艹人 cr
苈	艹力 cl
苊	艹乛 cv
苍	艹乛 cv
苒	艹冉 cr
苓	艹龴 cs
苔	艹口 ck
苕	艹口 ck
苗	艹田 ct
苛	艹口 ck
苜	艹目 cg
苞	艹巳 cs
苟	艹口 ck
苡	艹人 cr
若	艹口 ck
苦	艹口 ck
苧	艹丁 cd
苫	艹口 ck
英	艹央 cy
苴	艹且 cq
苷	艹甘 cg
苹	艹平 cp
苻	艹寸 cc
茁	艹出 ci
茄	艹口 ck
茆	艹卩 cq
茈	艹匕 cb
茉	艹末 cm
茌	艹士 ct
茎	艹工 cg
茑	艹鸟 cn
茓	艹八 cz
茗	艹口 ck
茚	艹卩 cq
茜	艹西 cx
茧	艹虫 ci
茨	艹人 cr
茬	艹土 ct
茭	艹乂 cx
茯	艹犬 cq
茱	艹朱 cv
茳	艹工 cg
茴	艹口 ck
茵	艹大 cd
茶	艹朩 cm
茸	艹耳 cq
茹	艹口 ck
茺	艹儿 cq
茼	艹口 ck
荀	艹日 cp
荃	艹王 cw
荄	艹人 cr
荆	艹刂 cd
草	艹十 cu
荐	艹子 cz
荑	艹夷 cy
荔	艹力 cl
荖	艹匕 cb
荙	艹辶 cz
荚	艹夹 cj
荛	艹兀 cw
荜	艹十 cu
荟	艹厶 cs
荤	艹车 ci
荨	艹寸 cc
荪	艹小 cc
荫	艹月 cl
荬	艹大 cd
荭	艹工 cg
荷	艹口 ck
荻	艹火 cl
荽	艹女 cn
莅	艹立 cl
莉	艹刂 cd
莒	艹口 ck
莘	艹十 cu
莙	艹口 ck
莛	艹廴 cz
莝	艹土 ct
莞	艹儿 cq
莩	艹子 cz
莰	艹人 cr
莱	艹来 cl
莲	艹辶 cz
莳	艹寸 cc
获	艹犬 cq
莿	艹刂 cd
菀	艹乛 cv
菁	艹月 cl
菇	艹口 ck
菉	艹氺 cu
菍	艹心 cx
菏	艹口 ck
菔	艹又 ci
菖	艹日 cp
菘	艹厶 cs
菜	艹木 cm
菠	艹又 ci
菲	艹非 cf
菼	艹火 cl
菽	艹又 ci
萁	艹八 cz
萃	艹十 cu
萆	艹十 cu
萋	艹女 cn
萌	艹月 cl
萍	艹平 cp
萎	艹女 cn
萘	艹小 cc
萜	艹口 ck
萝	艹夕 cx
萣	艹人 cr
营	艹口 ck
萧	艹肃 cs
萩	艹火 cl
萳	艹干 ct
萸	艹臾 cy
萹	艹艹 cc
落	艹口 ck
葆	艹木 cm
葑	艹寸 cc
葖	艹犬 cq
著	艹日 cp
葙	艹目 cg
葜	艹大 cd
董	艹重 cv
葩	艹巴 cb
葫	艹月 cl
葰	艹夂 cw
葶	艹丁 cd
葸	艹心 cx
蒂	艹巾 cj
蒄	艹寸 cc
蒈	艹白 cb
蒉	艹人 cr
蒋	艹寸 cc
蒌	艹女 cn
蒐	艹鬼 cg
蒡	艹方 cf
蒨	艹月 cl
蒯	艹刂 cd
蒹	艹乀 cy
蒺	艹矢 cu
蒻	艹冫 cd
蒽	艹心 cx
蒿	艹口 ck
蓁	艹禾 ch
蓇	艹骨 cg
蓉	艹口 ck
蓊	艹习 cx
蓐	艹寸 cc
蓓	艹口 ck
蓖	艹匕 cb
蓝	艹皿 cm
蓠	艹丶 cx
蓢	艹月 cl
蓣	艹人 cr
蓬	艹辶 cz
蓿	艹百 cb
蔀	艹阝 cq
蔃	艹虫 ci
蔈	艹小 cc
蔊	艹干 ct
蔓	艹又 ci
蔚	艹寸 cc
蔟	艹矢 cu
蔡	艹小 cc
蔫	艹灬 ch
蔷	艹口 ck
蔻	艹又 ci
蕃	艹田 ct
蕈	艹十 cu
蕉	艹灬 ch
蕖	艹木 cm
蕗	艹口 ck
蕙	艹心 cx
蕞	艹又 ci
蕰	艹皿 cm
蕻	艹八 cz
蕾	艹田 ct
薁	艹大 cd
薅	艹寸 cc
薇	艹攵 cw
薏	艹心 cx
薛	艹十 cu
薢	艹牛 cn
薨	艹匕 cb
薮	艹攵 cw
薯	艹日 cp
薰	艹灬 ch
薳	艹辶 cz
薷	艹而 cq
薸	艹小 cc
薿	艹人 cr
藜	艹氺 cu
藟	艹田 ct
藠	艹白 cb
藤	艹氺 cu
藻	艹木 cm
蘑	艹石 cu
蘩	艹小 cc
蘸	艹灬 ch
虮	虫几 ij
虷	虫干 it
虸	虫子 iz
虹	虫工 ig
虽	口虫 ki
蚀	饣虫 ui
蚁	虫义 iy
蚂	虫马 im
蚄	虫方 if
蚆	虫巴 ib
蚊	虫文 iw
蚋	虫内 in
蚌	虫丰 if
蚍	虫匕 ib
蚣	虫厶 is
蚤	叉虫 ii
蚨	虫夫 if
蚱	虫乍 iv
蚲	虫平 ip
蚴	虫力 il
蚶	虫甘 ig
蚺	虫冉 ir
蛀	虫主 iv
蛃	虫丙 ib
蛄	虫口 ik
蛆	虫且 iq
蛇	虫匕 ib
蛉	虫龴 is
蛎	虫万 iw
蛏	虫土 it
蛔	虫口 ik
蛙	虫土 it
蛛	虫朱 iv
蛞	虫口 ik
蛟	虫乂 ix
蛤	虫口 ik
蛩	工虫 gi
蛭	虫土 it
蛰	扌虫 fi
蛱	虫夹 ij
蛲	虫兀 iw
蛳	虫巾 ij
蛸	虫月 il
蜀	罒虫 si
蜂	虫丰 if
蜃	厂虫 ii
蜇	扌虫 fi
蜉	虫子 iz
蜊	虫刂 id
蜐	虫力 il
蜒	虫廴 iz
蜓	虫廴 iz
蜕	虫儿 iq
蜘	虫口 ik
蜞	虫八 iz
蜡	虫日 ip
蜢	虫皿 im
蜩	虫口 ik
蜱	虫十 iu
蜴	虫勿 iw
蜷	虫乛 iv
蜻	虫月 il
蜾	虫果 ig
蜿	虫乛 iv
蝈	虫玉 iy
蝉	虫丨 is
蝓	虫刂 id
蝗	虫王 iw
蝙	虫艹 ic
蝣	虫子 iz
蝮	虫夂 iw
蝰	虫土 it
蝴	虫月 il
蝻	虫干 it
蝼	虫女 in
蝽	虫日 ip
蝾	虫木 im
螂	虫阝 iq
螃	虫方 if
螅	虫心 ix
螈	虫小 ic
螗	虫口 ik
螠	虫皿 im
螣	月虫 li
螨	虫两 il
螬	虫日 ip
螭	虫丶 ix
螱	尸虫 si
螳	虫土 it
螵	虫小 ic
螺	虫小 ic
蟆	虫大 id
蟋	虫心 ix
蟏	虫肃 is
蟑	虫十 iu
蟠	虫田 it
蟥	虫八 iz
蟪	虫心 ix
蟫	虫十 iu
蟮	虫口 ik
蟹	𠂊虫 xi
蠊	虫乀 iy
蠕	虫而 iq
衣	亠𧘇 wf
衬	衤寸 pc
衲	衤内 pn
衾	人𧘇 rf
袄	衤夭 py
袈	力𧘇 lf
袋	亻𧘇 rf
袍	衤巳 ps
袜	衤末 pm
袢	衤半 pb
袪	衤厶 ps
被	衤又 pi
袯	衤丶 px
袱	衤犬 pq
袷	衤口 pk
袼	衤口 pk
裂	歹𧘇 df
装	冫𧘇 df
裆	衤彐 pn
裈	衤车 pi
裎	衤王 pw
裔	亠口 wk
裕	衤口 pk
裙	衤口 pk
裟	氵𧘇 df
裢	衤辶 pz
裤	衤车 pi
裥	衤日 pp
裨	衤十 pu
裸	衤果 pg
裼	衤勿 pw
裾	衤口 pk
褊	衤艹 pc
褓	衤木 pm
褕	衤刂 pd
褙	衤月 pl
褚	衤日 pp
褛	衤女 pn
褟	衤习 px
褫	衤几 pj
褯	衤巾 pj
褴	衤皿 pm
襁	衤虫 pi
襚	衤辶 pz
襟	衤小 pc
襦	衤而 pq
西	一一 hh
要	西女 xn
覃	西十 xu
覆	西夂 xw
觟	𠂊土 xt
解	𠂊牛 xn
觥	𠂊兀 xw
觫	𠂊束 xu
觭	𠂊口 xk
觯	𠂊丨 xs
訚	门口 mk
訾	止口 vk
詈	罒口 sk
詟	龙口 lk
誉	𭕄口 xk
誓	扌口 fk
警	艹口 ck
计	讠十 yu
订	讠丁 yd
认	讠人 yr
讥	讠几 yj
讦	讠干 yt
讧	讠工 yg
讨	讠寸 yc
讪	讠山 yn
议	讠义 yy
记	讠己 yj
讷	讠内 yn
许	讠午 yw
讹	讠匕 yb
论	讠匕 yb
讼	讠厶 ys
讽	讠乂 yx
设	讠又 yi
